Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-26,criterion.,,https://boxd.it/TsKrE,

Position,Name,Year,URL,Description
1,Grand Illusion,1937,https://boxd.it/29Ei,"• Spine #1
<i> - Essential Art House: Volume One </i>
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #25 </i>
<i> - LaserDisc Spine #25A </i>"
2,Seven Samurai,1954,https://boxd.it/2axi,"• Spine #2
<i> - AK 100: 25 Films by Akira Kurosawa  </i>
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #67 </i>
<i> - LaserDisc Spine #67A </i>"
3,The Lady Vanishes,1938,https://boxd.it/29ea,"• Spine #3
<i> - Classic Hitchcock
- Wrong Men & Notorious Women: Five Hitchcock Thrillers 1935–1946 </i>
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #4 </i>
<i> - VHS Spine #4 </i>"
4,Crook's Tour,1940,https://boxd.it/3dyK,"• Spine #3.1
<i> - Classic Hitchcock </i>"
5,Amarcord,1973,https://boxd.it/20NA,"• Spine #4
<i> - Essential Fellini </i>
<i> - LaserDisc Spine #270 </i>"
6,The 400 Blows,1959,https://boxd.it/2b1C,"• Spine #5
<i> - The Adventures of Antoine Doinel (Spine #185) </i>
<i> - Essential Art House: Volume Two </i>
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #173 </i>"
7,Beauty and the Beast,1946,https://boxd.it/29UA,"• Spine #6
<i> - Essential Art House: Volume One </i>
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #128 </i>"
8,A Night to Remember,1958,https://boxd.it/1UXE,"• Spine #7
<i> - LaserDisc Spine #250 </i>"
9,The Killer,1989,https://boxd.it/1Vha,"• Spine #8
<i> - LaserDisc Spine #211 </i>
<i> - LaserDisc Spine #284 </i>"
10,Hard Boiled,1992,https://boxd.it/1T6a,"• Spine #9
<i> - LaserDisc Spine #245 </i>
<i> - LaserDisc Spine #308 </i>"
11,Walkabout,1971,https://boxd.it/1bsG,"• Spine #10
<i> - LaserDisc Spine #351 </i>"
12,The Seventh Seal,1957,https://boxd.it/2ahO,"• Spine #11
<i> - Ingmar Bergman: Four Masterworks </i>
<i> - Ingmar Bergman's Cinema </i>
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #10 </i>
<i> - LaserDisc Spine #10A </i>"
13,This Is Spinal Tap,1984,https://boxd.it/1UOs,"• Spine #12
<i> - LaserDisc Spine #238 </i>
<i> - LaserDisc Spine #319 </i>"
14,The Silence of the Lambs,1991,https://boxd.it/2aHW,"• Spine #13
<i> - LaserDisc Spine #192 </i>
<i> - LaserDisc Spine #314 </i>"
15,Samurai I: Musashi Miyamoto,1954,https://boxd.it/1jfg,"• Spine #14
<i> - The Samurai Trilogy </i>
<i> - LaserDisc Spine #176 </i>"
16,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/1jf6,"• Spine #15
<i> - The Samurai Trilogy </i>
<i> - LaserDisc Spine #177 </i>"
17,Samurai III: Duel at Ganryu Island,1956,https://boxd.it/1jeM,"• Spine #16
<i> - The Samurai Trilogy </i>
<i> - LaserDisc Spine #178 </i>"
18,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,"• Spine #17
<i> - LaserDisc Spine #209 </i>"
19,The Naked Kiss,1964,https://boxd.it/1uBW,"• Spine #18
<i> - LaserDisc Spine #77 </i>"
20,Shock Corridor,1963,https://boxd.it/1vGI,"• Spine #19
<i> - LaserDisc Spine #15 </i>"
21,Sid and Nancy,1986,https://boxd.it/1N6e,"• Spine #20
<i> - LaserDisc Spine #241 </i>"
22,Dead Ringers,1988,https://boxd.it/1Yqk,"• Spine #21
<i> - LaserDisc Spine #305 </i>
<i> - LaserDisc Spine #372 </i>"
23,Summertime,1955,https://boxd.it/DPw,"• Spine #22
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #116 </i>"
24,RoboCop,1987,https://boxd.it/22Wu,"• Spine #23
<i> - LaserDisc Spine #198 </i>
<i> - LaserDisc Spine #311 </i>"
25,High and Low,1963,https://boxd.it/1RSc,"• Spine #24
<i> - AK 100: 25 Films by Akira Kurosawa </i>
<i> - LaserDisc Spine #382 </i>"
26,Alphaville,1965,https://boxd.it/20AG,"• Spine #25
<i> - LaserDisc Spine #274 </i>"
27,The Long Good Friday,1980,https://boxd.it/1NlS,"• Spine #26
<i> - LaserDisc Spine #331 </i>"
28,Flesh for Frankenstein,1973,https://boxd.it/25Sg,"• Spine #27
<i> - LaserDisc Spine #288 </i>"
29,Blood for Dracula,1974,https://boxd.it/1uNe,"• Spine #28
<i> - LaserDisc Spine #287 </i>"
30,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,"• Spine #29
<i> - LaserDisc Spine #383 </i>"
31,Homesdale,1971,https://boxd.it/8sa4,• Spine #29.1
32,M,1931,https://boxd.it/29vq,"• Spine #30
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #356 </i>"
33,Great Expectations,1946,https://boxd.it/1OjS,"• Spine #31
<i> - Great Adaptations </i>
<i> - LaserDisc Spine #262 </i>"
34,Oliver Twist,1948,https://boxd.it/1V0e,"• Spine #32
<i> - Great Adaptations </i>
<i> - LaserDisc Spine #267 </i>"
35,Nanook of the North,1922,https://boxd.it/29Rc,• Spine #33
36,Andrei Rublev,1966,https://boxd.it/29lg,"• Spine #34
<i> - LaserDisc Spine #222 </i>"
37,The Steamroller and the Violin,1961,https://boxd.it/16he,• Spine #34.1
38,Diabolique,1955,https://boxd.it/29we,"• Spine #35
<i> - LaserDisc Spine #138 </i>"
39,The Wages of Fear,1953,https://boxd.it/2aSK,"• Spine #36
<i> - Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #127 </i>"
40,Time Bandits,1981,https://boxd.it/19KI,"• Spine #37
<i> - LaserDisc Spine #354 </i>"
41,Branded to Kill,1967,https://boxd.it/1HSQ,"• Spine #38
<i> - LaserDisc Spine #361 </i>"
42,Tokyo Drifter,1966,https://boxd.it/OTY,"• Spine #39
<i> - LaserDisc Spine #362 </i>"
43,Armageddon,1998,https://boxd.it/2b9Q,"• Spine #40
<i> - LaserDisc Spine #384 </i>"
44,Henry V,1944,https://boxd.it/1Agq,"• Spine #41
<i> - Olivier's Shakespeare </i>
<i> - LaserDisc Spine #258 </i>"
45,Fishing with John,1991,https://boxd.it/gtsu,• Spine #42
46,Lord of the Flies,1963,https://boxd.it/1Xqy,"• Spine #43
<i> - Great Adaptations </i>
<i> - Essential Art House: Volume One </i>
<i> - LaserDisc Spine #185 </i>"
47,The Red Shoes,1948,https://boxd.it/1EXI,"• Spine #44
<i> - CC40 </i>
<i> - LaserDisc Spine #249 </i>"
48,Taste of Cherry,1997,https://boxd.it/1m8W,• Spine #45
49,The Most Dangerous Game,1932,https://boxd.it/27Gc,"• Spine #46
<i>- Great Adaptations</i>"
50,Insomnia,1997,https://boxd.it/1txk,• Spine #47
51,Black Orpheus,1959,https://boxd.it/11PU,"• Spine #48
<i>- Essential Art House: Volume Two
- Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #13 </i>
<i> - LaserDisc Spine #13A </i>"
52,Nights of Cabiria,1957,https://boxd.it/1F7e,"• Spine #49
<i> - Essential Fellini </i>"
53,And the Ship Sails On,1983,https://boxd.it/22RO,"• Spine #50
<i> - Essential Fellini </i>"
54,Brazil,1985,https://boxd.it/2be2,"• Spine #51
<i> - LaserDisc Spine #196 </i>
<i> - LaserDisc Spine #373 </i>"
55,Yojimbo,1961,https://boxd.it/1SRY,"• Spine #52
<i>- Yojimbo / Sanjuro: Two Samurai Films by Akira Kurosawa
- AK 100: 25 Films by Akira Kurosawa</i>
<i> - LaserDisc Spine #105 </i>"
56,Sanjuro,1962,https://boxd.it/1TaQ,"• Spine #53
<i>- Yojimbo / Sanjuro: Two Samurai Films by Akira Kurosawa
- AK 100: 25 Films by Akira Kurosawa</i>
<i> - LaserDisc Spine #218 </i>"
57,For All Mankind,1989,https://boxd.it/1Dvy,• Spine #54
58,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,"• Spine #55
<i> - LaserDisc Spine #357 </i>"
59,The 39 Steps,1935,https://boxd.it/2aKc,"• Spine #56
<i>- Classic Hitchcock
- Wrong Men & Notorious Women: Five Hitchcock Thrillers 1935–1946
- Essential Art House: Volume Four
- Essential Art House: 50 Years of Janus Films </i>
<i> - LaserDisc Spine #3 </i>
<i> - VHS Spine #3 </i>"
60,Charade,1963,https://boxd.it/23O2,• Spine #57
61,Peeping Tom,1960,https://boxd.it/1Utk,"• Spine #58
<i> - LaserDisc Spine #156 </i>"
62,The Night Porter,1974,https://boxd.it/1tsk,"• Spine #59
<i> - LaserDisc Spine #359 </i>"
63,Autumn Sonata,1978,https://boxd.it/1Rio,"• Spine #60
<i> - Ingmar Bergman's Cinema </i>
<i> - LaserDisc Spine #255 </i>"
