Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-26,Vinegar Syndrome Filmography,"vinegar syndrome, sleaze, exploitation, preservation, topprofile",https://boxd.it/TsKDA,

Position,Name,Year,URL,Description
1,Flesh and Fantasy,1943,https://boxd.it/3SNc,
2,The Snow Creature,1954,https://boxd.it/10lu,
3,Fire Maidens of Outer Space,1956,https://boxd.it/1jrw,
4,"Curucu, Beast of the Amazon",1956,https://boxd.it/1nz0,
5,Johnny Gunman,1957,https://boxd.it/8Hm0,https://vinegarsyndrome.com/collections/frontpage/products/the-candidate-johnny-gunman
6,The Lonely Sex,1959,https://boxd.it/5AY6,https://vinegarsyndrome.com/collections/frontpage/products/anatomy-of-a-psycho-the-lonely-sex
7,The Man Who Could Cheat Death,1959,https://boxd.it/1oQw,
8,Revenge of the Virgins,1959,https://boxd.it/5HkC,https://vinegarsyndrome.com/collections/frontpage/products/revenge-of-the-virgins-teenage-zombies
9,Teenage Zombies,1959,https://boxd.it/1c96,https://vinegarsyndrome.com/collections/frontpage/products/revenge-of-the-virgins-teenage-zombies
10,The Playgirls and the Vampire,1960,https://boxd.it/17LO,
11,Gorgo,1961,https://boxd.it/10U0,
12,Reptilicus,1961,https://boxd.it/1CbC,
13,Anatomy of a Psycho,1961,https://boxd.it/18mK,https://vinegarsyndrome.com/collections/frontpage/products/anatomy-of-a-psycho-the-lonely-sex
14,The Dungeon of Harrow,1962,https://boxd.it/189w,https://vinegarsyndrome.com/collections/frontpage/products/the-dungeon-of-harrow-death-by-invitation
15,The Horrible Dr. Hichcock,1962,https://boxd.it/Vyo,
16,The Orgy at Lil's Place,1963,https://boxd.it/6Dpg,Out of Print
17,Devil Doll,1964,https://boxd.it/1nKi,
18,Fanny Hill,1964,https://boxd.it/22E6,https://vinegarsyndrome.com/collections/frontpage/products/fanny-hill-the-phantom-gunslinger
19,The Candidate,1964,https://boxd.it/bcze,https://vinegarsyndrome.com/collections/frontpage/products/the-candidate-johnny-gunman
20,The Incredible Sex Revolution,1965,https://boxd.it/63Ok,https://vinegarsyndrome.com/collections/frontpage/products/on-her-bed-of-roses-the-incredible-sex-revolution
21,Dr Terror's House of Horrors,1965,https://boxd.it/1t80,
22,One Naked Night,1965,https://boxd.it/76Zs,https://vinegarsyndrome.com/collections/frontpage/products/the-blue-hour-one-naked-night-three-in-a-towel
23,Curse of the Voodoo,1965,https://boxd.it/5Mq6,
24,Orgy of the Dead,1965,https://boxd.it/Kia,https://vinegarsyndrome.com/collections/frontpage/products/orgy-of-the-dead
25,Vapors,1965,https://boxd.it/6Q4A,https://vinegarsyndrome.com/collections/frontpage/products/andy-milligans-seeds-vapors
26,Red Midnight,1966,https://boxd.it/IXmM,
27,Red Roses of Passion,1966,https://boxd.it/6iiI,https://vinegarsyndrome.com/collections/frontpage/products/red-roses-of-passion
