Date,Name,Year,Letterboxd URI
2023-10-08,Western,2017,https://boxd.it/g7cE
2023-10-08,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,https://boxd.it/8HoU
2023-10-08,A Touch of Sin,2013,https://boxd.it/5Fvo
2023-10-08,Dead Ringers,1988,https://boxd.it/1Yqk
2023-10-08,The Handmaiden,2016,https://boxd.it/948A
2023-10-08,Bait,2019,https://boxd.it/lac8
2023-10-08,Force Majeure,2014,https://boxd.it/7UcA
2023-10-08,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO
2023-10-08,Saint Maud,2019,https://boxd.it/l8QA
2023-10-09,Brain Damage,1988,https://boxd.it/1qUU
2023-10-09,Braindead,1992,https://boxd.it/29Gy
2023-10-09,The Square,2017,https://boxd.it/e5YW
2023-10-09,The Keep,1983,https://boxd.it/1umW
2023-10-09,Phantom of the Paradise,1974,https://boxd.it/1s34
2023-10-09,Nirvana the Band the Show,2007,https://boxd.it/GITi
2023-10-09,Sans Soleil,1983,https://boxd.it/28B8
2023-10-09,La Jetée,1962,https://boxd.it/29Sk
2023-10-09,Wicked City,1987,https://boxd.it/1BSA
2023-10-09,Ninja Scroll,1993,https://boxd.it/1Ooe
2023-10-23,Night Watch,2004,https://boxd.it/25SK
2023-10-23,Day Watch,2006,https://boxd.it/272G
2023-10-27,Parasite,2019,https://boxd.it/hTha
2023-10-27,Lord of Illusions,1995,https://boxd.it/1Ztk
2023-10-27,Metropolis,1927,https://boxd.it/71a
2023-10-27,Perfect Blue,1997,https://boxd.it/1W7A
2023-10-27,Paprika,2006,https://boxd.it/23wW
2023-10-31,King of New York,1990,https://boxd.it/1Ynq
2023-11-01,Phenomena,1985,https://boxd.it/1o4s
2023-11-01,Tenebre,1982,https://boxd.it/1mRM
2023-11-01,Alien,1979,https://boxd.it/2awY
2023-11-01,Aliens,1986,https://boxd.it/29PA
2023-11-01,Sonatine,1993,https://boxd.it/20TI
2023-11-01,Violent Cop,1989,https://boxd.it/1Rym
2023-11-01,Manhunter,1986,https://boxd.it/1TOw
2023-11-01,The Cell,2000,https://boxd.it/1ZLS
2023-11-01,The Fall,2006,https://boxd.it/1NoM
2023-11-24,Being John Malkovich,1999,https://boxd.it/2ahu
2023-11-24,Adaptation.,2002,https://boxd.it/26mA
2023-11-24,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
