Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-26,Favorite Films,,https://boxd.it/TsKS6,

Position,Name,Year,URL,Description
1,Europa,1991,https://boxd.it/1ZfM,
2,"Peep ""TV"" Show",2004,https://boxd.it/6i34,
3,The Reflecting Skin,1990,https://boxd.it/1CkY,
4,Targets,1968,https://boxd.it/1Fbq,
5,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
6,River's Edge,1986,https://boxd.it/1C7q,
7,Tokyo Fist,1995,https://boxd.it/Z2m,
8,Nowhere,1997,https://boxd.it/286E,
9,Haze,2005,https://boxd.it/1uAu,
10,Nemesis,1992,https://boxd.it/1y3u,
11,Kids Return,1996,https://boxd.it/1sfY,
12,Kite,1998,https://boxd.it/1G8M,
13,Nixon,1995,https://boxd.it/1Vds,
14,Golgo 13: The Professional,1983,https://boxd.it/1HQ6,
15,Ricochet,1991,https://boxd.it/1Ypm,
16,Angst,1983,https://boxd.it/1G46,
17,The Evil Within,2017,https://boxd.it/fNJ4,
18,Cat Soup,2001,https://boxd.it/1wrk,
19,Frownland,2007,https://boxd.it/1z7W,
20,The Final Exit of the Disciples of Ascensia,2019,https://boxd.it/mpRC,
21,Trust,1990,https://boxd.it/18Co,
22,Hardware,1990,https://boxd.it/1Uas,
23,Spontaneous Combustion,1989,https://boxd.it/14fK,
24,Gunhed,1989,https://boxd.it/20cO,
25,The Skin,1981,https://boxd.it/9tg,
26,Teenage Hooker Became Killing Machine,2000,https://boxd.it/2EAc,
27,Midori,1992,https://boxd.it/2jvq,
28,Alien³,1992,https://boxd.it/20zS,
29,Love God,1997,https://boxd.it/3M7Y,
30,Edge of Tomorrow,2014,https://boxd.it/4pD0,
31,Julien Donkey-Boy,1999,https://boxd.it/VNI,
32,March Comes In Like a Lion,1991,https://boxd.it/5DfI,
33,Play Dirty,1969,https://boxd.it/1trQ,
34,Deadbeat at Dawn,1988,https://boxd.it/33BE,
35,The Most Terrible Time in My Life,1994,https://boxd.it/30Ko,
36,Pixote,1980,https://boxd.it/XCs,
37,Out of the Blue,1980,https://boxd.it/1456,
38,My Heart Is That Eternal Rose,1989,https://boxd.it/2HHA,
39,The Death King,1990,https://boxd.it/1LCM,
40,Trouble in Mind,1985,https://boxd.it/1ivW,
41,Skinny Puppy: Too Dark Park Backing Film,1990,https://boxd.it/IrgW,
42,Zero Day,2002,https://boxd.it/1sz0,
43,The World of Kanako,2014,https://boxd.it/7nCq,
44,Demonlover,2002,https://boxd.it/1xz0,
45,Mad Max,1979,https://boxd.it/1Y7i,
46,The Bunker of the Last Gunshots,1982,https://boxd.it/f7A,
47,Blue Spring,2001,https://boxd.it/1fIo,
48,Cop,1988,https://boxd.it/1iuY,
49,Stand by Me,1986,https://boxd.it/2aOe,
50,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,
51,Destruction Babies,2016,https://boxd.it/dj8e,
52,Billy Lynn's Long Halftime Walk,2016,https://boxd.it/9g2Y,
53,God Told Me To,1976,https://boxd.it/1iN2,
54,Combat Shock,1986,https://boxd.it/1tEg,
55,Crank: High Voltage,2009,https://boxd.it/1MPs,
56,Freeway,1996,https://boxd.it/1Uju,
57,Dead Leaves,2004,https://boxd.it/1L54,
58,Confessions,2010,https://boxd.it/uRS,
59,Urotsukidōji: Legend of the Overfiend,1989,https://boxd.it/I1c,
60,Violence Voyager,2018,https://boxd.it/iOSM,
61,Phenomena,1985,https://boxd.it/1o4s,
62,Resurrection of the Little Match Girl,2002,https://boxd.it/PcQ,
63,Hook-Ups - Asian Goddess,1994,https://boxd.it/pBGW,
64,Analife,2005,https://boxd.it/avRE,
65,Permanent Green Light,2018,https://boxd.it/i1mi,
66,Streetwise,1984,https://boxd.it/XKw,
67,In a Glass Cage,1986,https://boxd.it/MnG,
68,The Beast to Die,1980,https://boxd.it/T8S,
