Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-26,My top 10 movies.,,https://boxd.it/TsKXK,

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
2,Akira,1988,https://boxd.it/2b1i,
3,Avatar: The Way of Water,2022,https://boxd.it/2E2E,
4,Black Narcissus,1947,https://boxd.it/1Kce,
5,Blow Out,1981,https://boxd.it/1TlE,
6,Bottle Rocket,1996,https://boxd.it/1PDa,
7,Carlito's Way,1993,https://boxd.it/226e,
8,Cure,1997,https://boxd.it/1blA,
9,Ed Wood,1994,https://boxd.it/2adM,
10,Evil Dead II,1987,https://boxd.it/29Ge,
11,Excalibur,1981,https://boxd.it/1TDI,
12,The Exorcist III,1990,https://boxd.it/1Tum,
13,Freddy Got Fingered,2001,https://boxd.it/1QGk,
14,Ghost World,2001,https://boxd.it/28Dy,
15,Godzilla,1954,https://boxd.it/28kc,
16,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
17,Halloween,1978,https://boxd.it/2wRu,
18,The Handmaiden,2016,https://boxd.it/948A,
19,Hereditary,2018,https://boxd.it/hNVe,
20,House,1977,https://boxd.it/1vsm,
21,House of 1000 Corpses,2003,https://boxd.it/26uE,
22,Instrument,1999,https://boxd.it/1dWo,
23,Jurassic Park,1993,https://boxd.it/2aA2,
24,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi,
25,King Kong,1933,https://boxd.it/2aMM,
26,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
27,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
28,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
29,The Matrix,1999,https://boxd.it/2a1m,
30,Murder Death Koreatown,2020,https://boxd.it/T2gu,
31,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
32,The Night of the Hunter,1955,https://boxd.it/25HW,
33,No Country for Old Men,2007,https://boxd.it/21ew,
34,Pacific Rim,2013,https://boxd.it/2cB2,
35,Phantom of the Paradise,1974,https://boxd.it/1s34,
36,Pulse,2001,https://boxd.it/1s3y,
37,Safe,1995,https://boxd.it/1gKU,
38,Slipknot: Disasterpieces,2002,https://boxd.it/1BWW,
39,Southland Tales,2006,https://boxd.it/23Uu,
40,Speed Racer,2008,https://boxd.it/20UQ,
41,Starship Troopers,1997,https://boxd.it/2a7k,
42,"Synecdoche, New York",2008,https://boxd.it/23zw,
43,Taxi Driver,1976,https://boxd.it/2b8y,
44,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
45,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
46,Tokyo Fist,1995,https://boxd.it/Z2m,
47,Trick 'r Treat,2007,https://boxd.it/1zvE,
48,Universal Soldier: Day of Reckoning,2012,https://boxd.it/433O,
49,"Wax, or The Discovery of Television Among the Bees",1991,https://boxd.it/une,
