Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-08,Next up,,https://boxd.it/Sr1oE,

Position,Name,Year,URL,Description
1,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
2,Send Help,2026,https://boxd.it/JuhA,
3,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
4,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
5,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
6,The Mastermind,2025,https://boxd.it/Q7ge,
7,The Long Good Friday,1980,https://boxd.it/1NlS,
8,The Handmaiden,2016,https://boxd.it/948A,
9,A Private Life,2025,https://boxd.it/NeQs,
10,One Hour Photo,2002,https://boxd.it/1YT2,
11,Yi Yi,2000,https://boxd.it/1vCw,
12,The Smashing Machine,2025,https://boxd.it/syUC,
13,Monster,2003,https://boxd.it/2afy,
14,Serial Mom,1994,https://boxd.it/1Tty,
15,La Chimera,2023,https://boxd.it/vzVi,
16,Mother,2009,https://boxd.it/1m9g,
17,Adaptation.,2002,https://boxd.it/26mA,
18,Pillion,2025,https://boxd.it/N6Pw,
19,Dream Scenario,2023,https://boxd.it/v2h0,
