Date,Name,Year,Letterboxd URI
2025-06-30,Cure,1997,https://boxd.it/1blA
2025-08-08,All That Jazz,1979,https://boxd.it/1JB8
2025-09-27,Penda's Fen,1974,https://boxd.it/4oQW
2025-09-28,The Vanishing,1988,https://boxd.it/1ZTW
2025-09-28,Manhunter,1986,https://boxd.it/1TOw
2025-09-28,Phenomena,1985,https://boxd.it/1o4s
2025-10-27,House,1977,https://boxd.it/1vsm
2025-10-27,Phantom Thread,2017,https://boxd.it/e4uc
2025-10-30,In the Mouth of Madness,1994,https://boxd.it/26vi
2025-11-03,In the Mood for Love,2000,https://boxd.it/29tE
2025-11-05,Blow Out,1981,https://boxd.it/1TlE
2025-11-14,Cruising,1980,https://boxd.it/1qzW
2025-12-08,Punch-Drunk Love,2002,https://boxd.it/20E4
2025-12-08,Moonstruck,1987,https://boxd.it/27zg
2025-12-12,The Iron Claw,2023,https://boxd.it/w5Pm
2025-12-12,Widows,2018,https://boxd.it/e6gc
2025-12-13,Mystery Train,1989,https://boxd.it/1Ub6
2025-12-14,"I, Tonya",2017,https://boxd.it/dzR0
2025-12-18,The Birdcage,1996,https://boxd.it/1UTi
2025-12-28,Amadeus,1984,https://boxd.it/2aH8
2026-01-12,Marty Supreme,2025,https://boxd.it/Off0
2026-01-12,Angel Heart,1987,https://boxd.it/29WG
2026-01-12,Tombstone,1993,https://boxd.it/1SE6
2026-01-12,Bram Stoker's Dracula,1992,https://boxd.it/223a
2026-01-12,The French Connection,1971,https://boxd.it/296g
2026-01-12,8½,1963,https://boxd.it/2aqm
2026-01-12,Prince of Darkness,1987,https://boxd.it/1ZKq
2026-01-12,Cobra,1986,https://boxd.it/1XDM
2026-01-12,Nope,2022,https://boxd.it/sDCe
2026-01-12,Lesson of a Dead Language,1979,https://boxd.it/eEus
2026-01-12,Western,2017,https://boxd.it/g7cE
2026-01-31,FROG UNLOCKED,2025,https://boxd.it/TpcK
2026-02-08,The Ballad of Wallis Island,2025,https://boxd.it/GqT0
2026-02-09,Sinners,2025,https://boxd.it/KQMM
2026-02-23,To Live and Die in L.A.,1985,https://boxd.it/1XFo
2026-02-24,Rich Hall's Inventing the Indian,2012,https://boxd.it/4vtA
