Date,Name,Year,Letterboxd URI
2020-09-20,Metropolis,1927,https://boxd.it/71a
2020-09-20,Tetsuo II: Body Hammer,1992,https://boxd.it/1HJY
2020-09-20,Fireworks,1997,https://boxd.it/22mQ
2020-09-20,Southland Tales,2006,https://boxd.it/23Uu
2020-09-20,Andrei Rublev,1966,https://boxd.it/29lg
2020-09-20,To Joy,1950,https://boxd.it/142Q
2020-09-20,The Seventh Seal,1957,https://boxd.it/2ahO
2020-09-20,Fraud,2016,https://boxd.it/dQmy
2020-09-22,Rear Window,1954,https://boxd.it/2a6Q
2020-09-22,The Color of Pomegranates,1969,https://boxd.it/1u94
2020-09-22,Zerograd,1988,https://boxd.it/2z6w
2020-09-22,On the Silver Globe,1988,https://boxd.it/1sAM
2020-09-22,The Hourglass Sanatorium,1973,https://boxd.it/OUW
2020-09-22,Drowning by Numbers,1988,https://boxd.it/1rYe
2020-09-22,The Cremator,1969,https://boxd.it/1H8y
2022-10-14,The Ghost Snatchers,1986,https://boxd.it/515U
2022-11-04,Hardware,1990,https://boxd.it/1Uas
2022-11-04,Gunhed,1989,https://boxd.it/20cO
2022-11-04,Tokyo Fist,1995,https://boxd.it/Z2m
2022-11-04,Elliot,2017,https://boxd.it/he6q
2022-11-04,Mad God,2021,https://boxd.it/vVPm
2022-11-04,Shadows of Forgotten Ancestors,1965,https://boxd.it/1tbS
2023-01-10,The Passenger,1975,https://boxd.it/1Y8q
2023-01-10,Thundercrack!,1975,https://boxd.it/K8a
2023-01-26,RRR,2022,https://boxd.it/ljDs
2023-01-26,Black Narcissus,1947,https://boxd.it/1Kce
2023-01-26,"Wax, or The Discovery of Television Among the Bees",1991,https://boxd.it/une
2023-10-08,Neptune Frost,2021,https://boxd.it/oZ04
2023-10-08,After Life,1998,https://boxd.it/1HMI
2023-10-08,"The Good, the Bad, the Weird",2008,https://boxd.it/1MSG
2023-10-08,The Untamed,2016,https://boxd.it/dwAK
2023-10-08,The Endless,2017,https://boxd.it/ffyw
2023-10-08,The Nightingale,2018,https://boxd.it/e1Ga
2023-10-08,Lady Macbeth,2016,https://boxd.it/erJk
2023-10-08,"Khrustalyov, My Car!",1998,https://boxd.it/3rPg
2023-10-08,Tokyo Drifter,1966,https://boxd.it/OTY
2023-10-08,A Dark Song,2016,https://boxd.it/epo0
2023-10-08,Accident,2009,https://boxd.it/1vKq
2023-10-08,American Movie,1999,https://boxd.it/1Oty
2023-10-08,Aniara,2018,https://boxd.it/hUMe
2023-10-08,Animal Kingdom,2010,https://boxd.it/Ru8
2023-10-08,Bacurau,2019,https://boxd.it/fSUG
2023-10-08,Berberian Sound Studio,2012,https://boxd.it/3T30
2023-10-08,Bill Traylor: Chasing Ghosts,2021,https://boxd.it/uNDK
2023-10-08,Blue Ruin,2013,https://boxd.it/5H8G
2023-10-08,Voyage in Time,1983,https://boxd.it/LL8
2023-10-08,Golden Balls,1993,https://boxd.it/K3Y
2023-10-08,Howl from Beyond the Fog,2019,https://boxd.it/mNcI
2023-10-08,Kwaidan,1964,https://boxd.it/1kbY
